0.5 	28543.2
0.515152 	27457.6
0.530303 	26372
0.545455 	25286.4
0.560606 	23835.2
0.575758 	22227.3
0.590909 	20619.3
0.606061 	19254.1
0.621212 	18252.7
0.636364 	17251.3
0.651515 	16286.1
0.666667 	15646
0.681818 	15005.8
0.69697 	14365.7
0.712121 	13899
0.727273 	13475.6
0.742424 	13052.3
0.757576 	12696.3
0.772727 	12407.8
0.787879 	12119.2
0.80303 	11848
0.818182 	11646
0.833333 	11444.1
0.848485 	11242.1
0.863636 	11091.7
0.878788 	10947.1
0.893939 	10802.4
0.909091 	10681.3
0.924242 	10575.8
0.939394 	10470.3
0.954545 	10372.8
0.969697 	10293.7
0.984848 	10214.7
1 	10135.7
1.01515 	10072
1.0303 	10008.3
1.04545 	9944.61
1.06061 	9887.67
1.07576 	9833.62
1.09091 	9779.57
1.10606 	9728.79
1.12121 	9682.92
1.13636 	9637.05
1.15152 	9591.79
1.16667 	9552.1
1.18182 	9512.41
1.19697 	9472.72
1.21212 	9436.37
1.22727 	9400.87
1.24242 	9365.36
1.25758 	9331.11
1.27273 	9298.13
1.28788 	9265.14
1.30303 	9232.4
1.31818 	9200.61
1.33333 	9168.82
1.34848 	9137.03
1.36364 	9105.35
1.37879 	9073.67
1.39394 	9042
1.40909 	9009.85
1.42424 	8977.39
1.43939 	8944.92
1.45455 	8911.96
1.4697 	8877.88
1.48485 	8843.79
1.5 	8809.71
1.51515 	8773.22
1.5303 	8736.73
1.54545 	8700.24
1.56061 	8661.51
1.57576 	8621.82
1.59091 	8582.13
1.60606 	8540.83
1.62121 	8497.09
1.63636 	8453.35
1.65152 	8409.12
1.66667 	8360.38
1.68182 	8311.65
1.69697 	8262.91
1.71212 	8209.31
1.72727 	8154.49
1.74242 	8099.67
1.75758 	8041.2
1.77273 	7979.07
1.78788 	7916.94
1.80303 	7853.1
1.81818 	7782.4
1.83333 	7711.7
1.84848 	7641
1.86364 	7561.93
1.87879 	7481.93
1.89394 	7401.93
1.90909 	7318.1
1.92424 	7231.71
1.93939 	7145.32
1.95455 	7071.34
1.9697 	7026.31
1.98485 	6981.29
2 	6936.27
